Group,Image1,Image2,Image3,Image4,AudioFile,Adjective,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
A,tallwineglass.png,shortwineglass.png,controller.png,calendar.png,bigcalendar.mp3,big,4,contrast filler,1002,1410,1002,2010
A,toaster.png,pot.png,shortcorn.png,longcorn.png,smalltoaster.mp3,small,1,contrast filler,839,1448,839,2089
A,deodorant.png,salad.png,tallspeaker.png,shortspeaker.png,smallsalad.mp3,small,2,contrast filler,870,1393,870,1929
A,widebush.png,narrowbush.png,rooster.png,popsicle.png,tallrooster.mp3,tall,3,contrast filler,949,1419,949,2042
A,bigbeehive.png,smallbeehive.png,calculator.png,icecube.png,smallicecube.mp3,small,4,contrast filler,873,1499,873,2059
A,remote.png,acorn.png,thickrollingpin.png,thinrollingpin.png,smallremote.mp3,small,1,contrast filler,795,1317,795,1875
A,snowglobe.png,icecream.png,bigfrog.png,smallfrog.png,tallicecream.mp3,tall,2,contrast filler,933,1498,933,2238
A,fatpickle.png,skinnypickle.png,hook.png,goggles.png,thinhook.mp3,thin,3,contrast filler,927,1445,927,1859
A,shortgiftbag.png,tallgiftbag.png,taco.png,soap.png,thicksoap.mp3,thick,4,contrast filler,944,1446,944,1921
A,rattle.png,tongs.png,thinsausage.png,thicksausage.png,skinnyrattle.mp3,skinny,1,contrast filler,854,1438,854,1973
A,dragon.png,charger.png,bigcake.png,smallcake.png,longcharger.mp3,long,2,contrast filler,1102,1782,1102,2456
A,fatrug.png,skinnyrug.png,safe.png,violin.png,bigsafe.mp3,big,3,contrast filler,1124,1619,1124,2040
A,thickspoon.png,thinspoon.png,train.png,magnifyingglass.png,bigmagnifyingglass.mp3,big,4,contrast filler,1195,1697,1195,3034
A,surfboard.png,laptop.png,fatcomb.png,skinnycomb.png,longsurfboard.mp3,long,1,contrast filler,1067,1662,1067,2466
A,pacifier.png,handcuffs.png,smalldiamond.png,bigdiamond.png,thickhandcuffs.mp3,thick,2,contrast filler,1056,1655,1056,2554
A,shortdumbbell.png,longdumbbell.png,kettle.png,hanger.png,fatkettle.mp3,fat,3,contrast filler,895,1430,895,1782
A,smallbubble.png,bigbubble.png,coconut.png,treasurechest.png,widetreasurechest.mp3,wide,4,contrast filler,980,1530,980,2407
A,golfclub.png,microscope.png,dragonfly.png,steeringwheel.png,thingolfclub.mp3,thin,1,filler,881,1460,881,2119
A,piano.png,pen.png,lobster.png,bus.png,shortpen.mp3,short,2,filler,817,1392,817,1825
A,ant.png,purse.png,stroller.png,sailboat.png,tallstroller.mp3,tall,3,filler,924,1386,924,2044
A,elephant.png,eggplant.png,drum.png,mailbox.png,tallmailbox.mp3,tall,4,filler,1006,1500,1006,2383
A,heart.png,carseat.png,chick.png,shoppingcart.png,wideheart.mp3,wide,1,filler,1060,1579,1060,2038
A,accordion.png,cherry.png,basketball.png,sock.png,wideaccordion.mp3,wide,2,filler,900,1466,900,2041
A,pencilsharpener.png,gears.png,harp.png,policeman.png,smallharp.mp3,small,3,filler,980,1558,980,2056
A,football.png,seahorse.png,helicopter.png,mushroom.png,shortmushroom.mp3,short,4,filler,970,1489,970,2407
A,penguin.png,helmet.png,grenade.png,hotdog.png,tallpenguin.mp3,tall,1,filler,1065,1501,1065,2249
A,grapefruit.png,ghost.png,wine.png,bell.png,bigghost.mp3,big,2,filler,1111,1641,1111,2015
A,motorcycle.png,folder.png,glove.png,pineapple.png,smallglove.mp3,small,3,filler,919,1673,919,2015
A,carrot.png,leaf.png,map.png,jumprope.png,longjumprope.mp3,long,4,filler,1058,1714,1058,2429
A,plane.png,unicorn.png,soccerball.png,lipstick.png,smallplane.mp3,small,1,filler,1057,1915,1057,2442
A,firefighter.png,ticket.png,sushi.png,lollipop.png,smallticket.mp3,small,2,filler,1001,1614,1001,2059
A,box.png,popcorn.png,knight.png,skirt.png,shortknight.mp3,short,3,filler,888,1539,888,2006
A,bow.png,turtle.png,baseball.png,pumpkin.png,widepumpkin.mp3,wide,4,filler,952,1496,952,2006
A,saw.png,egg.png,pie.png,moose.png,longsaw.mp3,long,1,filler,934,1383,934,1834
A,grasshopper.png,log.png,medal.png,axe.png,thicklog.mp3,thick,2,filler,1027,1604,1027,2251
A,horseshoe.png,lemon.png,penny.png,firetruck.png,smallpenny.mp3,small,3,filler,831,1491,831,1888
A,planet.png,necklace.png,cactus.png,couch.png,widecouch.mp3,wide,4,filler,955,1581,955,2177
A,mattress.png,sandwich.png,thread.png,plate.png,thickmattress.mp3,thick,1,filler,969,1457,969,2170
A,cow.png,skull.png,doorknob.png,butter.png,bigskull.mp3,big,2,filler,1132,1551,1132,2141
A,moon.png,apron.png,castle.png,spatula.png,tallcastle.mp3,tall,3,filler,1059,1651,1059,2217
A,baby.png,magnet.png,ambulance.png,sweater.png,thicksweater.mp3,thick,4,filler,920,1495,920,2066
A,ballerina.png,watch.png,yogurt.png,dolphin.png,skinnyballerina.mp3,skinny,1,filler,993,1743,993,2410
A,soup.png,vacuum.png,cage.png,glue.png,skinnyvacuum.mp3,skinny,2,filler,935,1555,935,2180
A,dinosaur.png,scarf.png,boot.png,icecubetray.png,bigboot.mp3,big,3,filler,1000,1518,1000,1904
A,horn.png,lungs.png,panther.png,peanut.png,smallpeanut.mp3,small,4,filler,894,1586,894,2091
A,ladle.png,gorilla.png,crutches.png,peach.png,longladle.mp3,long,1,filler,1002,1561,1002,2108
A,ostrich.png,fridge.png,top.png,stickynote.png,shortfridge.mp3,short,2,filler,997,1639,997,2175
A,chili.png,shovel.png,hairbrush.png,slippers.png,shorthairbrush.mp3,short,3,filler,1101,1827,1101,2574
A,butterfly.png,martini.png,nailpolish.png,basket.png,smallbasket.mp3,small,4,filler,1054,1854,1054,2559
A,bridge.png,monkey.png,salt.png,wreath.png,longbridge.mp3,long,1,filler,1062,1845,1062,2368
A,thimble.png,steak.png,robot.png,nailclipper.png,thicksteak.mp3,thick,2,filler,1060,1698,1060,2282
A,pliers.png,oreo.png,fries.png,envelope.png,skinnyfries.mp3,skinny,3,filler,1079,1892,1079,2523
A,foot.png,zipper.png,racket.png,paperclip.png,thinpaperclip.mp3,thin,4,filler,1173,1945,1173,2696
A,thumb.png,streetlight.png,parachute.png,marker.png,bigthumb.mp3,big,1,filler,1252,1820,1252,2167
A,swimsuit.png,trampoline.png,tiger.png,cleaver.png,shorttrampoline.mp3,short,2,filler,1013,1668,1013,2372
A,slingshot.png,lizard.png,chopsticks.png,leg.png,longchopsticks.mp3,long,3,filler,1114,1816,1114,2695
A,birdhouse.png,drill.png,swing.png,worm.png,skinnyworm.mp3,skinny,4,filler,915,1552,915,2074
A,skunk.png,beaker.png,binderclip.png,tape.png,smallskunk.mp3,small,1,filler,1018,1630,1018,2209
A,snail.png,coffin.png,gum.png,lettuce.png,longcoffin.mp3,long,2,filler,1042,1695,1042,2241
A,witch.png,pyramid.png,turkey.png,cheese.png,fatturkey.mp3,fat,3,filler,996,1562,996,1957
A,donut.png,palmtree.png,recordplayer.png,fly.png,bigfly.mp3,big,4,filler,1113,1624,1113,2141
A,skeleton.png,dishsoap.png,tack.png,recyclingbin.png,shortskeleton.mp3,short,1,filler,955,1558,955,2181
A,bouncehouse.png,waterfall.png,taxi.png,dentures.png,bigwaterfall.mp3,big,2,filler,1100,1572,1100,2246
A,camel.png,stamp.png,limo.png,syringe.png,longlimo.mp3,long,3,filler,994,1601,994,2062
A,peanutbutter.png,hospital.png,sunscreen.png,whale.png,fatwhale.mp3,fat,4,filler,1039,1619,1039,2100
A,pill.png,raspberry.png,bathtub.png,elf.png,smallpill.mp3,small,1,filler,962,1766,962,2200
A,island.png,rose.png,oven.png,porcupine.png,longrose.mp3,long,2,filler,1008,1694,1008,2282
A,jelly.png,banjo.png,panda.png,telescope.png,fatpanda.mp3,fat,3,filler,936,1539,936,2105
A,slinky.png,quilt.png,donkey.png,stopsign.png,tallstopsign.mp3,tall,4,filler,1015,1637,1015,2439
A,koala.png,checkbook.png,fire.png,scrunchie.png,bigkoala.mp3,big,1,filler,1012,1436,1012,2020
A,hoodie.png,spring.png,kangaroo.png,tray.png,longspring.mp3,long,2,filler,921,1492,921,2069
A,puzzle.png,towel.png,vendingmachine.png,stretcher.png,tallvendingmachine.mp3,tall,3,filler,1007,1490,1007,2388
A,waffles.png,cigar.png,diaper.png,parrot.png,bigparrot.mp3,big,4,filler,1123,1664,1123,2219
A,cooler.png,ducttape.png,bat.png,beret.png,smallcooler.mp3,small,1,filler,971,1716,971,2174
A,wolf.png,earbuds.png,blender.png,crane.png,longearbuds.mp3,long,2,filler,963,1656,963,2447
A,crib.png,indexcards.png,beet.png,paint.png,fatbeet.mp3,fat,3,filler,1064,1671,1064,2063
A,crepe.png,scale.png,pajamas.png,cheetah.png,thincheetah.mp3,thin,4,filler,925,1587,925,2104
A,measuringtape.png,perfume.png,ring.png,snorkel.png,longmeasuringtape.mp3,long,1,filler,970,1567,970,2431
A,nachos.png,thermometer.png,frisbee.png,honey.png,shortthermometer.mp3,short,2,filler,1007,1700,1007,2406
A,unicycle.png,toothpaste.png,flag.png,sombrero.png,shortflag.mp3,short,3,filler,911,1625,911,2094
A,papertowel.png,goat.png,mango.png,teacher.png,shortteacher.mp3,short,4,filler,977,1724,977,2197
A,flyswatter.png,chapstick.png,squirrel.png,ferriswheel.png,shortflyswatter.mp3,short,1,filler,979,1729,979,2486
